year month	day	rock	scissors	paper
2017 4 30 0 1 0
2017 5 7 1 0 0
2017 5 14 0 0 1
2017 5 21 0 1 0
2017 5 28 1 0 0
2017 6 4 0 1 0
2017 6 11 0 0 1
2017 6 18 1 0 0
2017 6 25 1 0 0
2017 7 2 0 1 0
2017 7 9 0 0 1
2017 7 16 1 0 0
2017 7 23 0 0 1
2017 7 30 0 1 0
2017 8 6 0 0 1
2017 8 13 1 0 0
2017 8 20 0 1 0
2017 8 27 1 0 0
2017 9 3 0 0 1
2017 9 10 0 0 1
2017 9 17 0 1 0
2017 9 24 1 0 0
2017 10 8 0 1 0
2017 10 15 0 0 1
2017 10 22 1 0 0
2017 11 5 0 1 0
2017 11 12 0 1 0
2017 11 19 1 0 0
2017 11 26 0 0 1
2017 12 3 0 0 1
2017 12 10 0 1 0
2017 12 17 1 0 0
2017 12 24 0 0 1
2018 1 7 0 1 0
2018 1 14 1 0 0
2018 1 21 0 1 0
2018 1 28 1 0 0
2018 2 4 0 0 1
2018 2 11 1 0 0
2018 2 18 0 1 0
2018 2 25 0 1 0
2018 3 4 0 0 1
2018 3 11 1 0 0
2018 3 18 1 0 0
2018 3 25 0 1 0
2018 4 1 0 1 0
2018 4 8 1 0 0
2018 4 15 0 0 1
2018 4 22 0 0 1
2018 4 29 0 1 0
2018 5 6 1 0 0
2018 5 13 0 1 0
2018 5 20 0 0 1
2018 5 27 1 0 0
2018 6 3 0 1 0
2018 6 10 1 0 0
2018 6 17 0 0 1
2018 6 24 0 0 1
2018 7 1 0 1 0
2018 7 8 1 0 0
2018 7 15 0 0 1
2018 7 22 1 0 0
2018 7 29 0 1 0
2018 8 5 0 1 0
2018 8 12 0 0 1
2018 8 19 1 0 0
2018 8 26 1 0 0
2018 9 2 0 0 1
2018 9 9 0 1 0
2018 9 16 1 0 0
2018 9 23 0 1 0
2018 9 30 0 0 1
2018 10 7 0 1 0
2018 10 14 1 0 0
2018 10 21 0 0 1
2018 11 4 0 0 1
2018 11 11 0 1 0
2018 11 18 0 1 0
2018 11 25 1 0 0
2018 12 2 1 0 0
2018 12 9 0 0 1
2018 12 16 0 1 0
2019 1 6 0 1 0
2019 1 13 0 0 1
2019 1 20 1 0 0
2019 1 27 0 1 0
2019 2 3 1 0 0
2019 2 10 0 0 1
2019 2 17 0 0 1
2019 2 24 0 1 0
2019 3 3 0 1 0
2019 3 10 1 0 0
2019 3 17 0 1 0
2019 3 24 0 0 1
2019 3 31 1 0 0
2019 4 7 0 1 0
2019 4 14 0 1 0
2019 4 21 1 0 0
2019 4 28 0 0 1
2019 5 5 0 1 0
2019 5 12 0 0 1
2019 5 19 1 0 0
2019 5 26 1 0 0
2019 6 2 0 1 0
2019 6 9 0 0 1
2019 6 16 1 0 0
2019 6 23 0 1 0
2019 6 30 0 0 1
2019 7 7 0 1 0
2019 7 14 1 0 0
2019 7 21 0 1 0
2019 7 28 0 0 1
2019 8 4 0 0 1
2019 8 11 1 0 0
2019 8 18 0 1 0
2019 8 25 1 0 0
2019 9 1 0 1 0
2019 9 8 0 0 1
2019 9 15 1 0 0
2019 9 22 0 0 1
2019 9 29 0 1 0
2019 10 6 0 1 0
2019 10 13 1 0 0
2019 10 20 0 0 1
2019 10 27 1 0 0
2019 11 3 0 1 0
2019 11 10 0 0 1
2019 11 17 0 1 0
2019 11 24 
