year month	day	rock	scissors	paper
2000 11 5 0 1 0
2000 11 12 0 0 1
2000 11 19 0 1 0
2000 11 26 0 0 1
2000 12 3 1 0 0
2000 12 10 0 0 1
2000 12 17 0 1 0
2000 12 24 0 1 0
2000 12 31 0 0 1
2001 1 7 0 1 0
2001 1 14 0 0 1
2001 1 21 1 0 0
2001 1 28 1 0 0
2001 2 4 0 1 0
2001 2 11 0 1 0
2001 2 18 0 1 0
2001 2 25 1 0 0
2001 3 4 0 1 0
2001 3 11 0 0 1
2001 3 18 0 1 0
2001 3 25 1 0 0
2001 4 1 0 1 0
2001 4 8 0 0 1
2001 4 15 1 0 0
2001 4 22 1 0 0
2001 4 29 0 0 1
2001 5 6 0 1 0
2001 5 13 0 0 1
2001 5 20 1 0 0
2001 5 27 0 0 1
2001 6 3 1 0 0
2001 6 10 1 0 0
2001 6 17 0 1 0
2001 6 24 0 1 0
2001 7 1 0 0 1
2001 7 8 1 0 0
2001 7 15 0 0 1
2001 7 22 0 1 0
2001 7 29 0 0 1
2001 8 5 0 1 0
2001 8 12 1 0 0
2001 8 19 1 0 0
2001 8 26 0 0 1
2001 9 2 0 1 0
2001 9 9 0 0 1
2001 9 16 0 0 1
2001 9 23 0 1 0
2001 10 7 0 1 0
2001 10 14 1 0 0
2001 10 21 0 1 0
2001 10 28 0 0 1
2001 11 4 0 1 0
2001 11 11 1 0 0
2001 11 18 1 0 0
2001 11 25 0 0 1
2001 12 2 0 1 0
2001 12 9 0 0 1
2001 12 16 0 1 0
2001 12 23 1 0 0
2001 12 30 0 0 1
2002 1 6 0 1 0
2002 1 13 0 1 0
2002 1 27 0 0 1
2002 2 3 1 0 0
2002 2 10 0 1 0
2002 2 17 0 0 1
2002 2 24 1 0 0
2002 3 3 1 0 0
2002 3 10 0 1 0
2002 3 17 1 0 0
2002 3 24 0 0 1
2002 3 31 1 0 0
2002 4 7 0 1 0
2002 4 14 0 1 0
2002 4 21 1 0 0
2002 4 28 0 0 1
2002 5 5 0 1 0
2002 5 12 0 0 1
2002 5 19 1 0 0
2002 5 26 0 1 0
2002 6 2 0 1 0
2002 6 9 0 0 1
2002 6 16 1 0 0
2002 6 23 0 1 0
2002 6 30 0 0 1
2002 7 7 0 1 0
2002 7 14 0 1 0
2002 7 21 1 0 0
2002 7 28 0 0 1
2002 8 4 0 1 0
2002 8 11 1 0 0
2002 8 18 1 0 0
2002 8 25 0 0 1
2002 9 1 1 0 0
2002 9 8 0 1 0
2002 9 15 1 0 0
2002 9 22 1 0 0
2002 10 6 0 1 0
2002 10 13 0 1 0
2002 10 20 0 0 1
2002 10 27 1 0 0
2002 11 3 1 0 0
2002 11 10 0 1 0
2002 11 17 0 0 1
2002 11 24 1 0 0
2002 12 1 0 1 0
2002 12 8 0 0 1
2002 12 15 0 0 1
2002 12 22 1 0 0
2002 12 29 0 1 0
2003 1 5 0 1 0
2003 1 19 0 0 1
2003 1 26 1 0 0
2003 2 2 0 0 1
2003 2 9 0 1 0
2003 2 16 0 0 1
2003 2 23 0 1 0
2003 3 2 1 0 0
2003 3 9 0 0 1
2003 3 16 0 1 0
2003 3 23 0 1 0
2003 3 30 1 0 0
2003 4 6 0 1 0
2003 4 13 0 1 0
2003 4 20 0 0 1
2003 4 27 0 0 1
2003 5 4 1 0 0
2003 5 11 1 0 0
2003 5 18 1 0 0
2003 5 25 0 1 0
2003 6 1 0 0 1
2003 6 8 0 1 0
2003 6 15 0 0 1
2003 6 22 0 0 1
2003 6 29 1 0 0
2003 7 6 0 1 0
2003 7 13 1 0 0
2003 7 20 0 0 1
2003 7 27 0 0 1
2003 8 3 0 1 0
2003 8 10 0 0 1
2003 8 17 0 0 1
2003 8 24 0 0 1
2003 8 31 0 1 0
2003 9 7 1 0 0
2003 9 14 1 0 0
2003 9 21 1 0 0
2003 9 28 0 0 1
2003 10 5 0 1 0
2003 10 12 1 0 0
2003 10 19 0 0 1
2003 10 26 0 0 1
2003 11 2 0 1 0
2003 11 9 0 1 0
2003 11 23 1 0 0
2003 11 30 0 1 0
2003 12 7 0 0 1
2003 12 14 0 0 1
2003 12 21 1 0 0
2003 12 28 0 0 1
2004 1 4 0 1 0
2004 1 11 0 1 0
2004 1 18 0 0 1
2004 1 25 0 0 1
2004 2 1 0 1 0
2004 2 8 1 0 0
2004 2 15 0 1 0
2004 2 22 1 0 0
2004 2 29 1 0 0
2004 3 7 0 0 1
2004 3 14 0 0 1
2004 3 21 0 1 0
2004 3 28 0 0 1
2004 4 4 0 1 0
2004 4 11 0 1 0
2004 4 18 1 0 0
2004 4 25 0 0 1
2004 5 2 1 0 0
2004 5 9 0 1 0
2004 5 16 0 0 1
2004 5 23 1 0 0
2004 5 30 1 0 0
2004 6 6 0 1 0
2004 6 13 0 0 1
2004 6 20 1 0 0
2004 6 27 0 0 1
2004 7 4 0 1 0
2004 7 11 0 0 1
2004 7 18 0 0 1
2004 7 25 0 1 0
